Open,High,Low,Close,Volume,Dividends,Stock Splits,Date
42.09,42.2,40.85,41.2,PyObject 27650200,PyObject 0,PyObject 0,2020-04-09T00:00:00
41.04,41.46,40.53,41.22,PyObject 19592000,PyObject 0,PyObject 0,2020-04-13T00:00:00
41.91,42.82,41.53,42.78,PyObject 22882400,PyObject 0,PyObject 0,2020-04-14T00:00:00
42.2,42.37,41.23,41.52,PyObject 18428800,PyObject 0,PyObject 0,2020-04-15T00:00:00
41.76,41.79,40.68,41.5,PyObject 26178000,PyObject 0,PyObject 0,2020-04-16T00:00:00
42.25,42.64,41.74,42.48,PyObject 30701500,PyObject 0,PyObject 0,2020-04-17T00:00:00
41.92,43.29,41.79,42.54,PyObject 23438800,PyObject 0,PyObject 0,2020-04-20T00:00:00
41.83,41.99,40.41,40.55,PyObject 31661000,PyObject 0,PyObject 0,2020-04-21T00:00:00
41.27,42.09,41.11,41.76,PyObject 18337400,PyObject 0,PyObject 0,2020-04-22T00:00:00
41.89,42.55,41.53,41.62,PyObject 16100200,PyObject 0,PyObject 0,2020-04-23T00:00:00
41.84,42.66,41.65,42.52,PyObject 14641700,PyObject 0,PyObject 0,2020-04-24T00:00:00
42.7,43.22,42.58,43.06,PyObject 17937900,PyObject 0,PyObject 0,2020-04-27T00:00:00
43.5,43.63,42.41,42.49,PyObject 16427700,PyObject 0,PyObject 0,2020-04-28T00:00:00
43.35,43.48,42.93,43.34,PyObject 17430100,PyObject 0,PyObject 0,2020-04-29T00:00:00
43.17,43.17,42.17,42.38,PyObject 26679900,PyObject 0,PyObject 0,2020-04-30T00:00:00
41.72,41.81,40.77,40.92,PyObject 22095300,PyObject 0,PyObject 0,2020-05-01T00:00:00
40.95,41.41,40.49,41.35,PyObject 15997700,PyObject 0,PyObject 0,2020-05-04T00:00:00
41.61,41.93,41.39,41.46,PyObject 15060200,PyObject 0,PyObject 0,2020-05-05T00:00:00
41.56,41.69,40.97,41.15,PyObject 16040300,PyObject 0,PyObject 0,2020-05-06T00:00:00
41.59,41.77,41.22,41.37,PyObject 20173600,PyObject 0,PyObject 0,2020-05-07T00:00:00
42.02,43.02,41.7,42.99,PyObject 21959100,PyObject 0,PyObject 0,2020-05-08T00:00:00
